region,cash_capita,real_incomes,real_pay,formal_wage_paid,child_mortality,disabled,alco,drugs,gross,living_area,poor_living_conditions,general_morbidity,teen_pregnancy,birth,population,poverty_percent,children_per,pensioners_per,working_age_per,reg_mining,reg_electric,reg_water,reg_manuf,reg_indust,retail,welfare,orphans_need,adopted,children_%,retiree,pension,retired_percent,living_wage,crime
Чувашская Республика — Чувашия,18919.666666666668,-0.03761207272,0.25223275756617447,26226.333333333332,135.0625,824991.1666666666,126.95714285714284,2.7285714285714286,118592.18399999998,14.2,0.3,95869.05,1611.8,14882.623125,1198429,26.2076923076923,22.2,4.2,73.6,725413.175,25697725.0075,6453356.65,204777269.7675,237653764.60000002,123133.22222222222,22.516666666666666,124.5,255.125,20.784300562500004,312342.0,12915.45857142857,24.642857142857142,9804.0,5218.2307692307695
Пермский край,29534.333333333332,-0.22497898909081593,0.21406314833324025,34850.166666666664,381.46875,2147283.3333333335,153.9714285714286,21.749999999999996,233702.956,16.0,0.4,96476.05,2082.9333333333334,33769.48499999999,2556852,17.211538461538463,41.5,3.7,54.8,341889802.15,123513130.48,26809566.950000003,1070773341.0199999,1562985840.6,198739.11111111112,21.516666666666666,670.375,1751.125,21.93136519375,672211.0,14032.094285714285,24.400000000000002,10844.0,15674.089743589744
Кировская область,22453.333333333332,-0.10434542204876796,0.2217415519359438,26929.0,153.875,1294276.0,107.29285714285716,3.885714285714286,121634.052,14.9,0.3,75074.95,822.9666666666666,14662.749375,1234780,24.096153846153847,40.8,3.4,55.7,1719270.2149999999,40387686.115,7252260.34,231496545.42,280855762.09,146872.0,23.416666666666668,730.0,400.875,19.45195323,380153.14285714284,13640.787142857143,28.742857142857144,10710.0,8253.358974358975
Нижегородская область,31542.666666666668,-0.11920440322239989,0.14328006026854445,31838.166666666668,367.03125,3036976.0,88.30714285714285,11.549999999999999,195429.78399999999,17.5,0.2,91170.45000000001,676.6999999999999,34569.986874999995,3144254,16.303846153846152,31.7,3.8,64.5,1645956.175,106809487.195,31076052.9,1371244527.14,1510776023.4099998,216634.66666666666,21.250000000000004,921.0,995.0,18.27285711625,901557.4285714285,13816.517142857143,27.571428571428573,10372.0,12602.448717948719
Оренбургская область,23430.833333333332,-0.11192721334839983,0.20699316018259983,29429.0,292.5,2000748.6666666667,131.82857142857142,7.307142857142857,222197.16,19.0,1.0,78544.45000000001,1172.5333333333333,25405.239999999998,1924578,21.876923076923074,42.8,3.3,53.9,500766822.09999996,63039287.6425,19409165.375,322163991.5375,905379266.655,152341.88888888888,25.0,866.0,813.125,21.77001325125,497740.71428571426,12911.635714285714,24.728571428571428,9760.0,10355.564102564103
Пензенская область,22056.0,-0.09770852636444827,0.1805298054606983,27877.666666666668,137.8125,1018099.8333333334,163.48571428571432,10.65,131569.236,16.9,0.1,73892.55,713.4333333333334,12941.874375,1274062,24.615384615384617,32.7,12.8,54.5,1310516.0499999998,22272335.0,6365299.6,219651229.27499998,249599379.925,152727.55555555556,20.983333333333334,142.25,248.125,17.385334727500002,363012.14285714284,12881.85,29.199999999999996,9610.0,5327.858974358975
Самарская область,28243.0,-0.13901434030259185,0.1796468564235676,32428.166666666668,294.78125,2241718.3333333335,91.90714285714286,17.621428571428574,222190.996,16.9,0.3,100452.70000000001,1040.4333333333332,35355.55437499999,3131720,17.623076923076923,36.9,9.5,53.6,321398093.875,127211276.0075,43516514.6225,1077986398.2,1570112282.705,200478.66666666666,22.150000000000002,758.625,978.75,18.618954218749998,833334.8571428572,13820.728571428572,26.714285714285715,10962.0,14540.833333333334
Саратовская область,21397.5,-0.041050857172743926,0.23547165403135994,26983.166666666668,309.34375,1441206.0,95.68571428571428,7.142857142857144,140879.296,17.8,1.7,74971.0,1071.3999999999999,25248.302499999998,2360959,24.03076923076923,39.0,2.5,58.5,35468509.6,97675384.84,14753419.850000001,397223946.305,545121260.595,141272.77777777778,25.116666666666664,578.125,787.25,18.29028589875,639372.1428571428,12699.528571428571,27.271428571428572,9631.0,9176.294871794871
Ульяновская область,23282.833333333332,-0.14609710286656008,0.15635125681880013,27494.666666666668,166.21875,1175804.8333333333,139.60714285714283,17.107142857142854,138229.24800000002,17.9,0.5,88122.25,661.0,13025.873749999999,1203969,21.746153846153845,38.4,3.1,58.5,10636486.84,27296490.200000003,9299930.025,276551226.4775,323784133.5425,146659.22222222222,24.316666666666666,382.625,414.125,17.8735654225,340237.28571428574,12989.854285714286,28.37142857142857,10306.0,5032.384615384615
Курганская область,20773.833333333332,-0.17770840007356015,0.2107747931158248,27134.166666666668,145.21875,774761.8333333334,126.89999999999999,25.157142857142862,119218.696,16.7,0.9,94560.95,1275.6000000000001,10504.121875,805510,29.700000000000003,39.4,2.4,58.2,3381283.325,20621190.39,3600096.6575,112741248.485,140343818.85750002,132054.88888888888,23.683333333333334,422.75,527.75,20.990746445,242866.7142857143,13007.805714285714,28.642857142857142,10452.0,7673.705128205128
